model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",1422,0.780440967,0.712199957,0.691758242,0.686045963,0.876502289,0.532755972
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1454,0.785917496,0.713033021,0.707142857,0.698765486,0.872013736,0.544315956
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 3)",820,0.791038407,0.713045288,0.72032967,0.713264499,0.869995879,0.552079117
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",875,0.804409673,0.740642462,0.721428571,0.727621237,0.869755952,0.578020879
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",980,0.783214794,0.688494079,0.743406593,0.71265745,0.868233974,0.542330348
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",1275,0.793812233,0.720710466,0.728021978,0.712472681,0.867764194,0.563991728
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1, 2, 3)",1347,0.778165007,0.720284209,0.692307692,0.690861006,0.867535256,0.53247925
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1220,0.807041252,0.753112027,0.714835165,0.720858428,0.866870421,0.586315261
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1300,0.791180654,0.71613074,0.721428571,0.709718334,0.86505815,0.555923632
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",948,0.783072546,0.707297009,0.698901099,0.699561447,0.862878205,0.533042065
ann,"('no_reduction',)","('mat',)",10-folds cv,"(1, 3)",800,0.772403983,0.671840121,0.736263736,0.701013743,0.861840201,0.521176882
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 3)",925,0.79374111,0.70844697,0.757142857,0.726376596,0.861122711,0.567972137
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",850,0.775177809,0.689976657,0.706593407,0.692997672,0.86050641,0.521123957
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1, 3)",898,0.80455192,0.718346931,0.757692308,0.734459353,0.853464286,0.583992858
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1374,0.77802276,0.698382027,0.714835165,0.694525104,0.853119505,0.533259145
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",450,0.769914651,0.670758637,0.713736264,0.687474722,0.850395604,0.510871176
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1,)",425,0.767283073,0.678682151,0.676923077,0.675806422,0.849155678,0.496368335
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1,)",449,0.76458037,0.667788462,0.691758242,0.678829467,0.847698718,0.49392817
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1,)",420,0.77254623,0.673035714,0.713736264,0.691768347,0.847502747,0.513481247
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2)",870,0.796301565,0.752291948,0.692857143,0.699152924,0.84745467,0.564819734
ann,"('no_reduction',)","('mat',)",10-folds cv,"(1, 2, 3)",1200,0.796514936,0.721371023,0.743406593,0.720868426,0.846630952,0.572582914
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1,)",476,0.772688478,0.686735348,0.684065934,0.683534014,0.844687729,0.507828087
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2, 3)",820,0.775462304,0.686476652,0.736263736,0.70153652,0.844626832,0.532793825
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(2, 3)",948,0.780583215,0.698480392,0.72032967,0.6986759,0.84396978,0.53716896
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(2, 3)",898,0.780583215,0.711584576,0.714285714,0.6994595,0.842138278,0.540716815
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",506,0.756756757,0.654083417,0.685714286,0.665380587,0.841688645,0.479595075
ann,"('no_reduction',)","('mat',)",10-folds cv,"(1,)",400,0.767140825,0.675209007,0.691758242,0.681681364,0.841611722,0.499896186
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1,)",474,0.756543385,0.656513903,0.677472527,0.664761905,0.840830586,0.475985748
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(2, 3)",925,0.746443812,0.64743268,0.684065934,0.658560397,0.840415293,0.464294502
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",980,0.756899004,0.66733879,0.713736264,0.677758867,0.840020147,0.496404565
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(3,)",506,0.764509246,0.658668121,0.736813187,0.692548963,0.839675366,0.508675261
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2)",980,0.788620199,0.693217419,0.751098901,0.713629569,0.838556319,0.555557706
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(2, 3)",850,0.762162162,0.676979997,0.705494505,0.679976507,0.83814881,0.502442699
ann,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2)",830,0.733072546,0.534506303,0.520879121,0.506156882,0.836330586,0.371610102
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(2, 3)",850,0.777738265,0.681407237,0.751648352,0.707251643,0.836119505,0.539381879
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",875,0.775320057,0.688295254,0.726923077,0.694730726,0.835598901,0.530583538
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2)",850,0.77802276,0.681880252,0.728571429,0.698609368,0.835577839,0.529988077
