model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
lgbm,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1374,0.7990753911806543,0.7453684550743375,0.6917582417582417,0.7076787705048575,0.8597756410256409,0.5655756175398793
lgbm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",875,0.7831436699857752,0.6905411255411256,0.7219780219780219,0.7030322653081273,0.8507646520146521,0.5359796415740455
lgbm,"('no_reduction',)","('mat',)",10-folds cv,"(1, 2, 3)",1200,0.8068990042674253,0.7823065823065822,0.6483516483516485,0.7005372798116427,0.8511428571428572,0.5731804441309118
lgbm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1220,0.7830014224751067,0.7020340443869856,0.7076923076923076,0.699931294347312,0.8629239926739926,0.5356057188146923
lgbm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2, 3)",820,0.7886201991465149,0.7145146520146519,0.7,0.6998688731447352,0.8731941391941392,0.5442261120476993
lgbm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 3)",820,0.7857041251778094,0.7028776125834948,0.7,0.6990310764504313,0.8567609890109888,0.5355117014859696
lgbm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1,)",420,0.7858463726884779,0.7012953712953712,0.6917582417582417,0.6938388699423181,0.8396318681318681,0.532021784874636
lgbm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2)",820,0.7806543385490755,0.6917445054945055,0.7005494505494505,0.6934685416754383,0.855870879120879,0.5256645736212692
lgbm,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1,)",476,0.7752489331436699,0.6711250514191691,0.7203296703296703,0.6919794539494205,0.8316904761904761,0.519196828240296
lgbm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",875,0.7803698435277384,0.6993101343101344,0.7,0.6919565881717065,0.8593525641025641,0.5295404305734558
