model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(3,)",360,0.7567567567567568,0.6556781045751634,0.706043956043956,0.6723717116217116,0.8083589743589743,0.48865989741309657
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 3)",480,0.7489331436699859,0.644510522157581,0.7153846153846154,0.671872731737849,0.8014532967032968,0.47877218702574253
linear,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",385,0.7541963015647226,0.6564717553688143,0.706043956043956,0.6708032541244443,0.8075347985347985,0.4860429251414288
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1,)",465,0.7487908961593173,0.6429584850134387,0.7093406593406593,0.6695066628773526,0.8016620879120879,0.47570513436747525
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 3)",370,0.7516358463726884,0.6506671025053378,0.7060439560439561,0.6692044946257961,0.8122380952380952,0.4810438081595705
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",1245,0.7514935988620198,0.6386599838070427,0.7142857142857143,0.6690885120626502,0.8136749084249084,0.47944973343442515
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2,)",187,0.7462304409672831,0.6343332974215328,0.7175824175824176,0.6686666976989558,0.7794725274725274,0.47316213467531104
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",609,0.7462304409672831,0.6303700711053651,0.7175824175824176,0.6663484111498243,0.7797774725274726,0.4723958686427058
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",527,0.7568990042674252,0.6585379313668788,0.6868131868131868,0.6659211602989714,0.7999633699633699,0.48311771418501814
linear,"('conform', 'no_reduction', 'hydro')","('protvec',)",10-folds cv,"(1,)",450,0.7435988620199148,0.6345344348633823,0.7164835164835166,0.6656985104145348,0.7974697802197802,0.4711133224711636
