model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",980,0.8097439544807967,0.8295215895215895,0.606043956043956,0.6872534852214487,0.8853882783882785,0.5803019945691568
rf,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",75,0.791109530583215,0.7467920967920968,0.6395604395604396,0.6814383407142028,0.8512568681318682,0.5375784310047067
rf,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",450,0.793669985775249,0.7637345987345988,0.6192307692307691,0.6777264909004039,0.8671657509157509,0.540652729698275
rf,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",80,0.7803698435277384,0.718014208014208,0.6483516483516484,0.6743728741689761,0.853789835164835,0.5175643614063183
rf,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1, 3)",850,0.7991465149359885,0.8121062271062272,0.5895604395604396,0.6736075036075035,0.8799565018315019,0.5563119161125071
rf,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(3,)",420,0.8017069701280228,0.8234371184371184,0.5967032967032967,0.6715010479716361,0.855389652014652,0.5648438997264016
rf,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",80,0.7830014224751067,0.7361338661338662,0.6269230769230768,0.6712140822140821,0.8475975274725274,0.5198922729924692
rf,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",875,0.7992176386913229,0.7981471306471305,0.5978021978021978,0.6700299966566833,0.8769977106227106,0.5541936498726103
rf,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(2,)",55,0.7806543385490754,0.7291928904428905,0.6406593406593406,0.6698594404096653,0.8413566849816849,0.519603016880453
rf,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",80,0.7777382645803699,0.7252813852813854,0.6258241758241757,0.6630908031942514,0.8498177655677657,0.509228911352434
rf,"('no_reduction', 'hydro')","('counts',)",10-folds cv,"(1,)",25,0.7754623044096729,0.7124741924741924,0.6274725274725274,0.6617323098357581,0.852304945054945,0.502483140672118
rf,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(2, 3)",870,0.796230440967283,0.8072560772560772,0.5741758241758242,0.6608708746969615,0.8778576007326008,0.5452138257791942
rf,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(2, 3)",925,0.8017780938833571,0.8204329004329003,0.5741758241758241,0.6601354136060017,0.8637467948717947,0.5555758032294326
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",506,0.7938122332859174,0.7911435786435786,0.5769230769230769,0.6592527279483802,0.8689052197802198,0.5379515752406855
rf,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2)",895,0.8046230440967281,0.830515873015873,0.5703296703296703,0.658685638880147,0.867404761904762,0.5638385804181502
rf,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2)",875,0.7858463726884779,0.7675374625374626,0.5835164835164834,0.6577627589801504,0.8627152014652015,0.521191001613366
