model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2)",820,0.7888335704125179,0.7419462481962482,0.6483516483516483,0.6867902754139636,0.863235347985348,0.536217694198802
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1220,0.7941678520625888,0.7607251082251083,0.6346153846153847,0.6861804172838657,0.872547619047619,0.5448337778061441
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1,)",420,0.780796586059744,0.7173713786213788,0.6483516483516483,0.6785911769390031,0.8523260073260074,0.5167835733758992
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2,)",420,0.7807965860597441,0.7325950438450438,0.6269230769230769,0.6699391622869885,0.8388525641025641,0.5161965092286361
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2, 3)",820,0.7834281650071124,0.7514024864024864,0.6049450549450549,0.6642638121498692,0.8579281135531135,0.5189773854192101
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 3)",820,0.7782361308677098,0.7284615384615384,0.6120879120879119,0.6619231930266414,0.8697573260073259,0.506098906924451
svm,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1,)",425,0.7780938833570412,0.7397766122766123,0.5989010989010989,0.6557431119605033,0.8270521978021976,0.5067756548280704
svm,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",1422,0.7728307254623044,0.7295204795204795,0.5906593406593407,0.6475120563816216,0.8330393772893775,0.4931573435037782
svm,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",948,0.7620199146514935,0.6990620490620489,0.6054945054945055,0.6452107892107891,0.8313076923076924,0.4739338980804636
svm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",875,0.7676386913229019,0.7218190143190143,0.5835164835164836,0.6402413930674801,0.8392261904761904,0.4819963095983133
svm,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1,)",449,0.7669985775248933,0.701515429015429,0.5956043956043955,0.6367335884727188,0.8208397435897435,0.47773157417446166
svm,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",850,0.7645803698435277,0.7144017094017093,0.5747252747252747,0.6315212980145514,0.841106684981685,0.47272049255027115
svm,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2)",948,0.7674964438122334,0.721366688866689,0.5692307692307692,0.6294926007969486,0.8245476190476191,0.4773722290689014
svm,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(3,)",420,0.7543385490753912,0.6959944222444223,0.5818681318681318,0.6289670731844645,0.8456808608058608,0.45598246780215695
svm,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1,)",474,0.7619487908961593,0.7178427128427128,0.560989010989011,0.6241930565408826,0.8200169413919414,0.4666036025518835
svm,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 3)",925,0.7624466571834992,0.7262878787878788,0.5467032967032968,0.6204856013551666,0.8297568681318681,0.465493078283535
svm,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1, 3)",898,0.7515647226173542,0.6829020979020979,0.5758241758241758,0.6203838013838012,0.82946336996337,0.44556792748559626
svm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",450,0.7570412517780938,0.7068389943389943,0.5615384615384615,0.6203426605600518,0.8343910256410257,0.4568042340500801
svm,"('conform', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",222,0.7435988620199145,0.6603929403929405,0.5840659340659341,0.6152081622081622,0.7903763736263736,0.4307616105212563
svm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2)",875,0.7569701280227596,0.7015784215784218,0.5620879120879121,0.6144848117621731,0.8359349816849818,0.4552737522225378
svm,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",1275,0.7674253200568991,0.751401098901099,0.5324175824175824,0.6137241743763482,0.8371785714285714,0.4768053070640031
svm,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1300,0.7598150782361309,0.7180599955599954,0.5483516483516484,0.6126623376623377,0.8401904761904762,0.4603110492095296
