model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
xgb,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",875,0.791180654338549,0.6986941979589039,0.7362637362637364,0.7140200140978784,0.8577399267399267,0.5534930840353705
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(3,)",420,0.7990753911806542,0.7402891844997109,0.7005494505494507,0.7127724127724129,0.8574551282051284,0.5667283910706178
xgb,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(2,)",450,0.7935988620199147,0.726789183039183,0.6912087912087913,0.7034191280428161,0.8434194139194139,0.5509006915142481
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2)",820,0.7909672830725463,0.7309868236338825,0.6840659340659341,0.7009958224118402,0.858308608058608,0.5467110647906113
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1220,0.7911095305832149,0.7314408372844905,0.6928571428571428,0.7003733622699139,0.8759954212454213,0.5523675538935934
xgb,"('no_reduction',)","('mat',)",10-folds cv,"(1, 2, 3)",1200,0.7990042674253202,0.7622527472527472,0.6626373626373625,0.6995561021797904,0.8635366300366301,0.5611417319974528
xgb,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1499,0.7914651493598862,0.7110361207420031,0.6934065934065934,0.6978471543699576,0.8534670329670331,0.5434349751638068
xgb,"('no_reduction',)","('mat',)",10-folds cv,"(1, 3)",800,0.79900426742532,0.7473931623931624,0.6631868131868133,0.6966449362731222,0.8611208791208792,0.5559041761247887
xgb,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",830,0.7860597439544807,0.7170651897122485,0.6934065934065934,0.6963375203052621,0.8472097069597071,0.5400607217346776
xgb,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1, 3)",898,0.7885490753911807,0.7144139194139194,0.6851648351648352,0.6959216515063591,0.8638663003663003,0.5378731909053632
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 3)",820,0.7860597439544807,0.7105581918081918,0.6857142857142857,0.6955343915343917,0.8609725274725275,0.5332530210658548
xgb,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",948,0.785633001422475,0.7097601744660569,0.6923076923076923,0.6937827787505209,0.8506840659340661,0.53692185695219
xgb,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",521,0.7806543385490755,0.6891108891108891,0.7087912087912088,0.6935853227232538,0.8432051282051282,0.5291413758039567
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2, 3)",820,0.7859886201991466,0.7095779220779221,0.6857142857142857,0.693502617433652,0.8591895604395603,0.5333672521803873
xgb,"('no_reduction',)","('mat',)",10-folds cv,"(1, 2)",800,0.7912517780938834,0.7595070125952479,0.6571428571428571,0.6932880238041528,0.8538525641025642,0.5491578351700548
xgb,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1,)",476,0.7830725462304411,0.6991741591741593,0.6923076923076923,0.6932142085245533,0.8343351648351648,0.5281917132573141
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2,)",420,0.7804409672830726,0.7048326020384844,0.6923076923076923,0.6923149963479799,0.8476657509157508,0.5281668279474385
xgb,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2)",850,0.7807254623044096,0.7123560263266147,0.6802197802197802,0.6911920367359744,0.8386309523809523,0.5265758057520503
xgb,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",895,0.7805832147937413,0.6959087481146305,0.6994505494505494,0.6892880439996559,0.8626336996336995,0.5284862360956645
xgb,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",506,0.7751066856330014,0.6776478423537248,0.7126373626373625,0.6883822856581476,0.8445897435897436,0.5211806766071309
xgb,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",460,0.7753200568990043,0.6830972948620007,0.7005494505494505,0.6878411023327597,0.8384386446886447,0.5169158877902305
xgb,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1235,0.7780227596017071,0.6955398523045582,0.6934065934065934,0.6870530802974582,0.8637893772893774,0.5231869587440943
xgb,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 3)",850,0.7859174964438121,0.7147344322344323,0.6703296703296704,0.6857704237014582,0.8477335164835166,0.5302584419984119
xgb,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(3,)",476,0.7727596017069701,0.6861527361527362,0.6917582417582419,0.6851631054131053,0.8455631868131868,0.5116522842358224
xgb,"('conform', 'no_reduction')","('counts',)",10-folds cv,"(1,)",27,0.7726173541963016,0.6758928571428572,0.6983516483516483,0.6832904274358547,0.8168232600732601,0.5098810701243102
xgb,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",880,0.7750355618776672,0.6938698801198802,0.676923076923077,0.6818308702791462,0.8179340659340658,0.5114839812399314
xgb,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1404,0.7832147937411095,0.7064450826950827,0.6708791208791209,0.6813463005981747,0.8521547619047618,0.5251001459153504
xgb,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2)",945,0.7701991465149359,0.688247381703264,0.6851648351648352,0.6812647582302755,0.822782967032967,0.5072048149576623
xgb,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 3)",925,0.7753200568990044,0.6846336669866082,0.6857142857142857,0.6806150761910785,0.8521556776556777,0.5120387607883694
xgb,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(3,)",450,0.7618776671408249,0.657174320777262,0.7142857142857142,0.6803116821793128,0.8417921245421246,0.49726761612458387
xgb,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1, 3)",870,0.7802987197724042,0.7061488511488512,0.6615384615384615,0.6795802538291293,0.8231620879120879,0.5168485363015839
xgb,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(3,)",449,0.7726884779516358,0.6929166666666667,0.6703296703296704,0.6789901117817159,0.8142701465201465,0.5056937838202346
xgb,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",75,0.7805120910384069,0.7113702963702965,0.6554945054945054,0.6787890450379205,0.81146336996337,0.5169433649072477
xgb,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",860,0.7805120910384069,0.7196547896547896,0.6483516483516483,0.678231884057971,0.8355247252747253,0.5178607935803206
xgb,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",875,0.7647226173541963,0.6674366564807741,0.701098901098901,0.6777181921072233,0.8406080586080587,0.4995090315589653
xgb,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",1300,0.7671408250355618,0.6867094017094018,0.6780219780219781,0.6773592751853622,0.8452261904761904,0.5002851773151402
xgb,"('no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(1,)",435,0.77524893314367,0.6983566433566433,0.6626373626373627,0.6766479324440343,0.8215137362637362,0.508448103932244
xgb,"('no_reduction',)","('mat',)",10-folds cv,"(1,)",400,0.77524893314367,0.7041958041958041,0.6620879120879122,0.6751403028644408,0.828246336996337,0.510298125294917
xgb,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 3)",980,0.7751066856330013,0.6980157342657344,0.6637362637362638,0.674777767404454,0.8586520146520147,0.5091957039928653
xgb,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(2, 3)",895,0.7726884779516358,0.688719409675292,0.6703296703296704,0.6741301898973708,0.8444249084249085,0.5051502343306822
xgb,"('conform', 'no_reduction')","('mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1377,0.7780227596017071,0.6999134199134199,0.6554945054945055,0.6737558955564953,0.8558067765567767,0.5097617214157133
xgb,"('no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(1, 3)",870,0.7697724039829302,0.6960760073260073,0.6692307692307692,0.6730151432220397,0.8286245421245422,0.503976810944224
xgb,"('no_reduction',)","('mat',)",10-folds cv,"(2,)",400,0.7753200568990043,0.7097596847596848,0.6494505494505495,0.6728943195180077,0.8329789377289378,0.5083982719505464
xgb,"('no_reduction',)","('counts',)",10-folds cv,"(1,)",20,0.7622332859174964,0.6707817904489731,0.6846153846153846,0.6728652983814274,0.8314148351648353,0.4913357877021074
xgb,"('conform', 'no_reduction')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2)",1075,0.7699857752489331,0.6834369796869797,0.6714285714285715,0.6725326347815104,0.8341282051282052,0.500395042559711
xgb,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1,)",450,0.7646514935988621,0.6674436090225564,0.693956043956044,0.6718663647973994,0.8348177655677655,0.49965444828073313
xgb,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1,)",420,0.7805832147937413,0.6947443977591037,0.6692307692307693,0.6715531594841939,0.8415998168498169,0.5170671140218033
